app_id,full_text
304390,"singleplayer online multiplayer online coop steam trading cards inapppurcases partial controller support action medieval action swordplay carve path destruction intense, believable battlefield honor. medieval swordplay action multiplayer pvp fighting thirdperson war coop gore singleplayer online coop hack and slash realistic strategy atmospheric rpg fantasy moba story rich"
306130,"mmo steam trading cards partial controller support massive-multiplayer rpg rpg open world mmorpg join 20 players award-winning online multiplayer rpg experience limitless adventure persistent elder scrolls world. battle, craft, steal, explore, combine types equipment abilities create style play. game subscription required. rpg mmorpg open world adventure fantasy exploration multiplayer singleplayer action massive-multiplayer pvp character customization pve lorerich choose your own adventure story rich classbased magic action rpg atmospheric"
238960,"singleplayer multiplayer online multiplayer mmo coop steam achievements steam trading cards inapppurcases action adventure freetoplay indie massive-multiplayer rpg freetoplay action rpg hack and slash exile, struggling survive dark continent wraeclast, fight earn power exact revenge wronged you. created hardcore gamers, path exile online action rpg set dark fantasy world. freetoplay action rpg hack and slash rpg multiplayer loot massive-multiplayer dungeon crawler character customization inventory management mmorpg action fantasy adventure isometric singleplayer online coop pvp horror coop"
730,"multiplayer steam achievements full controller support steam trading cards steam workshop inapppurcases valve anti-cheat enabled stats action freetoplay fps multiplayer shooter counter-strike: global offensive (cs: go) expands team-based action gameplay pioneered launched 19 years ago. cs: features maps, characters, weapons, game modes, delivers updated versions classic content (de_dust2, etc.). fps shooter multiplayer competitive action teambased esports tactical firstperson pvp online coop coop strategy military war difficult trading realistic fastpaced moddable"
255710,singleplayer steam achievements steam trading cards steam workshop partial controller support steam cloud includes level editor simulation strategy city builder simulation building cities: skylines modern classic city simulation. game introduces game play elements realize thrill hardships creating maintaining real city whilst expanding well-established tropes city building experience. city builder simulation building management strategy sandbox singleplayer moddable economy resource management mod realistic replay value casual modern realtime with pause family friendly great soundtrack funny action
289070,"singleplayer multiplayer steam achievements steam trading cards steam workshop strategy strategy turn-based strategy historical civilization vi newest installment award winning civilization franchise. expand empire, advance culture head-to-head history’s greatest leaders. civilization stand test time? strategy turnbased strategy multiplayer historical singleplayer turnbased grand strategy 4x war simulation city builder tactical building management great soundtrack moddable online coop coop hex grid atmospheric"
431960,steam achievements steam trading cards steam workshop includes level editor animation modeling design illustration utilities utilities software design illustration stunning live wallpapers desktop. animate images create wallpapers import videos/websites share steam workshop! mature utilities software anime design  illustration animation  modeling indie memes nsfw cute action funny earlyaccess singleplayer firstperson photo editing sandbox game development horror gaming
635260,"singleplayer multiplayer online multiplayer steam achievements steam trading cards partial controller support massive-multiplayer racing simulation sports racing sports massive-multiplayer carx drift racing online chance immerse real drifting. friends, tune car burn tires! racing driving automobile sim multiplayer simulation sports open world massive-multiplayer controller singleplayer arcade local multiplayer realistic vr coop earlyaccess casual action mod games workshop"
392160,"singleplayer steam achievements full controller support steam trading cards steam workshop steam cloud action simulation space simulation sandbox x4: foundations brings sophisticated universe simulation ever. fly ship, explore space manage empire; trade, fight, build carefully, embark epic journey. experience tons improvements massive 5.00 update! exploration sandbox space building economy management space sim trading grand strategy strategy firstperson simulation sci-fi singleplayer open world action flight atmospheric crafting survival"
570,"multiplayer coop steam trading cards steam workshop steamvr collectibles inapppurcases valve anti-cheat enabled action freetoplay strategy freetoplay moba strategy day, millions players worldwide enter battle dota heroes. matter 10th hour play 1,000th, discover. regular updates ensure constant evolution gameplay, features, heroes, dota 2 life own. freetoplay moba multiplayer strategy esports teambased competitive action online coop pvp difficult coop rts tower defense rpg fantasy character customization replay value action rpg simulation"
518790,"singleplayer multiplayer steam achievements steam cloud adventure simulation sports hunting open world multiplayer experience atmospheric hunting game realistic visually breathtaking open world. immerse atmospheric single player campaign, share ultimate hunting experience friends. hunting open world multiplayer simulation firstperson shooter survival realistic coop adventure fps action singleplayer walking simulator online coop atmospheric sports combat strategy gore"
236850,"singleplayer multiplayer cross-platform multiplayer steam achievements steam trading cards steam workshop steam cloud simulation strategy grand strategy strategy historical europa universalis control nation dramatic centuries. rule land dominate unparalleled freedom, depth historical accuracy. write history build empire ages. grand strategy historical simulation alternate history economy military strategy sandbox political diplomacy realtime with pause moddable replay value nonlinear singleplayer management multiplayer resource management education great soundtrack"
42700,singleplayer multiplayer coop steam achievements partial controller support valve anti-cheat enabled action action fps zombies biggest first-person action series time follow-up critically acclaimed duty®: modern warfare 2 returns duty®: black ops. action fps zombies multiplayer shooter singleplayer cold war firstperson war military online coop coop gore story rich controller adventure linear horror massive-multiplayer great soundtrack
291550,"singleplayer multiplayer online multiplayer local multiplayer coop online coop local coop shared/splitscreen cross-platform multiplayer steam achievements full controller support steam trading cards action freetoplay indie freetoplay multiplayer fighting epic platform fighter 8 players online local. casual free-for-alls, ranked matches, invite friends private room. free! play cross-platform millions players playstation, xbox, nintendo switch, ios, android & steam! frequent updates. fifty legends. freetoplay multiplayer fighting casual 2d fighter 2d platformer fantasy local multiplayer action platformer controller coop family friendly online coop esports local coop 4 player local cartoony singleplayer indie"
629730,"singleplayer action adventure indie rpg simulation earlyaccess earlyaccess vr action blade & sorcery built-for-vr medieval fantasy sandbox physics driven melee, ranged magic combat. powerful warrior, ranger sorcerer devastate enemies. vr swordplay action gore moddable violent magic sandbox simulation physics medieval fighting singleplayer firstperson fantasy adventure earlyaccess rpg indie games workshop"
438100,"singleplayer multiplayer online multiplayer coop online coop cross-platform multiplayer partial controller support adventure casual freetoplay massive-multiplayer simulation sports earlyaccess earlyaccess freetoplay memes join growing community explore, play, craft future social vr. create worlds custom avatars. vrchat. vr freetoplay memes multiplayer anime funny massive-multiplayer firstperson earlyaccess open world simulation casual adventure hentai mmorpg nsfw comedy sandbox mature action"
294100,"singleplayer steam workshop steam cloud indie simulation strategy base-building survival strategy sci-fi colony sim driven intelligent ai storyteller. generates stories simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, more. colony sim base building survival strategy sandbox management building simulation city builder singleplayer moddable open world procedural generation 2d sci-fi indie space tactical rpg western cartoony"
